Work Order,Description,Work Type,Location,Asset,Owner,Unit,Status,Unit Description,PO,Reported Date,Scheduled Start,HI Value,Description Penyulang,Status Date,Priority,Originating Record,Site,Bulan,UP3,INSP,JENIS WO,PANJANG JTM,FASA,YEAR,COUNTUNIQUE of Work Order,Status,,,,,,,,,,
100035544,INSPEKSI TIER 1 BK58721,INST1,GD01.06300819,,32720.INSPEKSI3,ULP.32720,WFCOMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,27/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100035628,INSPEKSI TIER 1 BK57336,INST1,GD01.06300824,,32720.INSPEKSI3,ULP.32720,WFCOMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,27/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100035788,INSPEKSI TIER 1 BK57343,INST1,GD01.06300832,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100035861,INSPEKSI TIER 1 BK57344,INST1,GD01.06300834,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,CUKUP,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100036096,INSPEKSI TIER 1 BK57345,INST1,GD01.06300835,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,CUKUP,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100036255,INSPEKSI TIER 1 BK57346,INST1,GD01.06300836,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,CUKUP,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100036356,INSPEKSI TIER 1 BK57349,INST1,GD01.06300838,,32720.INSPEKSI3,ULP.32720,WFCOMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,27/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100036407,INSPEKSI TIER 1 BK57350,INST1,GD01.06300839,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100036483,INSPEKSI TIER 1 BK57351,INST1,GD01.06300840,,32720.INSPEKSI3,ULP.32720,COMP,ULP KALUMPANG,,22/07/2026,,KURANG,P_SAPOLOHE,17/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100036537,INSPEKSI TIER 1 BK57353,INST1,GD01.06300842,,32720.INSPEKSI3,ULP.32720,WFOLLOWUP,ULP KALUMPANG,,22/07/2026,,BURUK,P_SAPOLOHE,28/08/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100090598,INSPEKSI TIER 1 BB70053,INST1,GD01.19602658,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,22/07/2026,,CUKUP,P_LEMBANG,23/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100091620,INSPEKSI TIER 1 BB19023,INST1,GD01.19602660,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,22/07/2026,,KURANG,P_LEMBANG,23/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100092602,INSPEKSI TIER 1 BB19024,INST1,GD01.19602661,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,22/07/2026,,CUKUP,P_LEMBANG,23/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100092657,INSPEKSI TIER 1 BB70141,INST1,GD01.19602663,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,22/07/2026,,CUKUP,P_LEMBANG,23/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100092966,INSPEKSI TIER 1 BB19025,INST1,GD01.19602668,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,22/07/2026,,CUKUP,P_LEMBANG,23/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100138590,INSPEKSI TIER 1 BB70148,INST1,GD01.19602669,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,24/07/2026,,KURANG,P_LEMBANG,25/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100138745,INSPEKSI TIER 1 BB18049,INST1,GD01.06302244,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,24/07/2026,,BURUK,P_LINGKAR,25/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100138777,INSPEKSI TIER 1 BB18049,INST1,GD01.06302244,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,24/07/2026,,BURUK,P_LINGKAR,25/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100138951,INSPEKSI TIER 1 BB18049,INST1,GD01.06302244,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,24/07/2026,,BURUK,P_LINGKAR,25/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100139070,INSPEKSI TIER 1 BB18077,INST1,GD01.06302242,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,24/07/2026,,CUKUP,P_LINGKAR,25/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100139133,INSPEKSI TIER 1 BB18047,INST1,GD01.06302241,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,24/07/2026,,KURANG,P_LINGKAR,25/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100142433,Perbaikan/Pergantian INSPEKSI TIER 1 BB18049,INST1,GD01.06302244,,32740.INSPEKSI2,ULP.32740,INPRG,ULP BANTAENG,,25/07/2026,,BURUK,P_LINGKAR,21/08/2026,,100138745,TND,Jul,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
100142438,Perbaikan/Pergantian INSPEKSI TIER 1 BB18049,INST1,GD01.06302244,,32740.INSPEKSI2,ULP.32740,INPRG,ULP BANTAENG,,25/07/2026,,BURUK,P_LINGKAR,26/08/2026,,100138777,TND,Jul,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
100142443,Perbaikan/Pergantian INSPEKSI TIER 1 BB18049,INST1,GD01.06302244,,32740.INSPEKSI2,ULP.32740,INPRG,ULP BANTAENG,,25/07/2026,,BURUK,P_LINGKAR,26/08/2026,,100138951,TND,Jul,UP3 BULUKUMBA,GD,TL,"0,00",,2026,,,,,,,,,,,,
100147913,INSPEKSI TIER 1 BB18045,INST1,GD01.06302240,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,27/07/2026,,BURUK,P_LINGKAR,28/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100148252,INSPEKSI TIER 1 BB18046,INST1,GD01.06302239,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,27/07/2026,,CUKUP,P_LINGKAR,28/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100148393,INSPEKSI TIER 1 BB18043,INST1,GD01.06302238,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,27/07/2026,,KURANG,P_LINGKAR,30/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100148475,INSPEKSI TIER 1 BB18042,INST1,GD01.06302237,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,27/07/2026,,BURUK,P_LINGKAR,30/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100148627,INSPEKSI TIER 1 BB18041,INST1,GD01.06302236,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,27/07/2026,,KURANG,P_LINGKAR,30/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100148716,INSPEKSI TIER 1 BB18040,INST1,GD01.06302235,,32740.INSPEKSI2,ULP.32740,WFOLLOWUP,ULP BANTAENG,,27/07/2026,,BURUK,P_LINGKAR,30/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100148838,INSPEKSI TIER 1 BB18039,INST1,GD01.06302234,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,27/07/2026,,KURANG,P_LINGKAR,30/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
100148892,INSPEKSI TIER 1 BB18038,INST1,GD01.06302233,,32740.INSPEKSI2,ULP.32740,COMP,ULP BANTAENG,,27/07/2026,,KURANG,P_LINGKAR,30/07/2026,,,TND,Jul,UP3 BULUKUMBA,GD,INSP,"0,00",,2026,,,,,,,,,,,,
